,FileLocation,Site,Starts.at,Month,Year
163,Aug2020_FishSurveys/Coco/P1010012.MOV,CL,0:11,Aug,2020
164,Aug2020_FishSurveys/Coco/P1010014.MOV,CL,0:05,Aug,2020
165,Aug2020_FishSurveys/Coco/P1010015.MOV,CL,0:05,Aug,2020
166,Fall2019_FishSurveys/USVI_Fall2019_BoobyRock_FishSurvey1.MOV,BR,0:20,Nov,2019
167,Fall2019_FishSurveys/USVI_Fall2019_Coco_FishSurvey2.MOV,CL,0:52,Nov,2019
168,Fall2019_FishSurveys/USVI_Fall2019_Coco_FishSurvey3.MOV,CL,0:25,Nov,2019
169,Fall2019_FishSurveys/USVI_Fall2019_Yawzi_FishSurvey4.MOV,YZ,0:12,Nov,2019
170,Mar2017_FishSurveys/JS/P3270143.MOV,JS,0:44,Mar,2017
171,Mar2017_FishSurveys/YZ/P3250079.MOV,YZ,0:29,Mar,2017
172,May2023_FishSurveys/BR230508/P5080326.MOV,BR,0:04,May,2023
173,May2023_FishSurveys/CO230509/P5090353.MOV,CL,0:12,May,2023
174,May2023_FishSurveys/JS230509/P5090348.MOV,JS,0:04,May,2023
175,May2023_FishSurveys/TK230507/P5070314.MOV,TK,0:12,May,2023
177,October2016/YawziOct2016/PA230106.MOV,YZ,0:45,Oct,2016
179,Summer2016/Tektite30mTransects060816/P6080056.MOV,TK,0:18,June,2016
